"Document Name","currentEra","displayName","level","photoURL","population","updatedAt","userId"
"/leaderboard/Jx3ul5wrQdd3hUMVf3RRr31Ksk63","""STONE AGE""","""seyiu oke""","3","""https://lh3.googleusercontent.com/a/ACg8ocLB7GF2nu1lcUoPuPM2crc9dOA1daIDp0tHXzgAZiZ4XPy0sg=s96-c""","22","May 16, 2026 at 10:16:45 AM UTC+7","""Jx3ul5wrQdd3hUMVf3RRr31Ksk63"""
"/leaderboard/SlsE6uD5zehvNPLbLSMJzdtNd3g2","""STONE AGE""","""joko hadiningrat""","3","""https://lh3.googleusercontent.com/a/ACg8ocIDDCKyKnX_J1Bx1pqnBrlMAHeiVgFD-Afw3gD2r9azyBsljw=s96-c""","19","May 18, 2026 at 3:25:46 PM UTC+7","""SlsE6uD5zehvNPLbLSMJzdtNd3g2"""
"/leaderboard/R79pfrucGHOQ1IlrqL7pQkoat0o1","""DIGITAL""","""Hazard Vortex""","3","""https://lh3.googleusercontent.com/a/ACg8ocIM2d1GU3hjeNQqjQuryPu6kP9uN5bawkZ9XxjM8-n9oIrb36k=s96-c""","8","May 18, 2026 at 11:16:45 AM UTC+7","""R79pfrucGHOQ1IlrqL7pQkoat0o1"""
"/leaderboard/yCdWPbzWRTgJ1fk1YUqais5nKW02","""Stone Age""","""dev test""","14","""https://lh3.googleusercontent.com/a/ACg8ocKjMoZ7iBdpcAA6T2rXt8YxRYxt0Td9ubLFWtccnGOnECI32A=s96-c""","45","June 4, 2026 at 10:14:46 AM UTC+7","""yCdWPbzWRTgJ1fk1YUqais5nKW02"""
